semantic_target,kind,dataset,backbone,epochs,batch_size,seed_policy,session
table_03,table,dtd,resnet50,100,128,"0,1,2",C01A
table_03,table,dtd,resnet50,100,128,"0,1,2",C01B
table_04,table,flowers102,resnet50,100,128,"0,1,2",C02
table_05,table,flowers102,resnet18,10,64,"0,1,2",C03
table_06,table,flowers102,resnet18,100,64,"0,1,2",C04
table_07,table,flowers102,resnet18,100,32,"0,1,2",C05
table_08,table,svhn,resnet50,10,128,"0,1,2",C06A
table_08,table,svhn,resnet50,10,128,"0,1,2",C06B
table_09,table,oxford_iiit_pet,resnet50,10,128,"0,1,2",C07
table_10,table,food101,resnet18,10,32,"0,1,2",C08A
table_10,table,food101,resnet18,10,32,"0,1,2",C08B
table_11,table,food101,efficientnet_b0,10,64,"0,1,2",C09A
table_11,table,food101,efficientnet_b0,10,64,"0,1,2",C09B
table_12,table,oxford_iiit_pet,efficientnet_b0,10,64,"0,1,2",C10
table_13,table,oxford_iiit_pet,efficientnet_b0,100,64,"0,1,2",C11
table_14_15,table,caltech101,resnet18,10,64,"0,1,2",C12
table_18_19,table,eurosat,mobilenet_v3_small,25,32,"0,1,2",C13
figure_01,figure,caltech101,resnet18,100,64,0,F01
figure_04,figure,fgvc_aircraft,resnet18,10,64,0,F04
ablation_dtd_resnet18,ablation,dtd,resnet18,10,64,"0,1,2",A01
ablation_flowers102_resnet50,ablation,flowers102,resnet50,10,128,"0,1,2",A02
binary_vit_drive,dense,drive,,100,8,"0,1,2",D01A
binary_vit_drive,dense,drive,,100,8,"0,1,2",D01B
binary_deeplab_drive,dense,drive,,100,8,"0,1,2",D02A
binary_deeplab_drive,dense,drive,,100,8,"0,1,2",D02B
semantic_pet_deeplab,dense,oxford_pet_segmentation,,5,8,"0,1,2",D03
binary_vit_pennfudan,dense,pennfudan,,100,8,"0,1,2",D04A
binary_vit_pennfudan,dense,pennfudan,,100,8,"0,1,2",D04B
binary_deeplab_pennfudan,dense,pennfudan,,100,8,"0,1,2",D05A
binary_deeplab_pennfudan,dense,pennfudan,,100,8,"0,1,2",D05B
detection_pet_fasterrcnn,dense,oxford_pet_detection,,1,1,"0,1,2",D06
vtab-dtd,vit-table,vtab-dtd,ViT-B/16,10,32,"0,1,2",V01
vtab-eurosat,vit-table,vtab-eurosat,ViT-B/16,10,32,"0,1,2",V02
flowers102,vit-table,flowers102,ViT-B/16,10,16,"0,1,2",V03
flowers102,vit-table,flowers102,ViT-B/16,10,32,"0,1,2",V04
vtab-caltech101,vit-table,vtab-caltech101,ViT-B/16,10,32,"0,1,2",V05
