order,session,family,target,experiment,methods,seeds,standalone_script,time_policy
1,C01A,CNN,table_03,DTD/ResNet50/100ep part 1 of 2,"linear,bitfit,ssf,dt1d,residual","0,1,2",cnn/C01A_table_03.sh,710m hard cap + resumable ZIP
2,C01B,CNN,table_03,DTD/ResNet50/100ep part 2 of 2,"conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C01B_table_03.sh,710m hard cap + resumable ZIP
3,C02,CNN,table_04,Flowers102/ResNet50/100ep,"linear,bitfit,ssf,dt1d,residual,conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C02_table_04.sh,710m hard cap + resumable ZIP
4,C03,CNN,table_05,Flowers102/ResNet18/10ep,"linear,bitfit,ssf,dt1d,conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C03_table_05.sh,710m hard cap + resumable ZIP
5,C04,CNN,table_06,Flowers102/ResNet18/100ep/BS64,"linear,bitfit,ssf,dt1d,conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C04_table_06.sh,710m hard cap + resumable ZIP
6,C05,CNN,table_07,Flowers102/ResNet18/100ep/BS32,"linear,bitfit,ssf,dt1d,conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C05_table_07.sh,710m hard cap + resumable ZIP
7,C06A,CNN,table_08,SVHN/ResNet50/10ep part 1 of 2,"linear,bitfit,ssf,dt1d,full","0,1,2",cnn/C06A_table_08.sh,710m hard cap + resumable ZIP
8,C06B,CNN,table_08,SVHN/ResNet50/10ep part 2 of 2,"conv_r8,conv_r6,conv_r4,conv_r2","0,1,2",cnn/C06B_table_08.sh,710m hard cap + resumable ZIP
9,C07,CNN,table_09,Oxford-IIIT Pet/ResNet50/10ep,"linear,bitfit,ssf,dt1d,conv_r8,conv_r6,conv_r4,conv_r2,full","0,1,2",cnn/C07_table_09.sh,710m hard cap + resumable ZIP
10,C08A,CNN,table_10,Food101/ResNet18/10ep part 1 of 2,"linear,bitfit,ssf,dt1d,full","0,1,2",cnn/C08A_table_10.sh,710m hard cap + resumable ZIP
11,C08B,CNN,table_10,Food101/ResNet18/10ep part 2 of 2,"conv_r8,conv_r6,conv_r4,conv_r2","0,1,2",cnn/C08B_table_10.sh,710m hard cap + resumable ZIP
12,C09A,CNN,table_11,Food101/EfficientNet-B0/10ep part 1 of 2,"linear,bitfit,ssf,dt1d,full","0,1,2",cnn/C09A_table_11.sh,710m hard cap + resumable ZIP
